full_name,relative_url
ARABIAN PETROLEUM LIMITED,https://www.upstox.com/stocks/arabian-petroleum-limited-share-price/INE08NJ01024/
ARCHIDPLY IND. LTD,https://www.upstox.com/stocks/archidply-ind-ltd-share-price/INE877I01016/
ARCHIES LTD,https://www.upstox.com/stocks/archies-ltd-share-price/INE731A01020/
AMARA RAJA ENERGY MOB LTD,https://www.upstox.com/stocks/amara-raja-energy-mob-ltd-share-price/INE885A01032/
RAJDARSHAN INDUSTRIES LTD,https://www.upstox.com/stocks/rajdarshan-industries-ltd-share-price/INE610C01014/
ARHAM TECHNOLOGIES LTD,https://www.upstox.com/stocks/arham-technologies-ltd-share-price/INE0L2Y01011/
ARIES AGRO LTD.,https://www.upstox.com/stocks/aries-agro-ltd-share-price/INE298I01015/
ARIHANT CAPITAL MKTS LTD,https://www.upstox.com/stocks/arihant-capital-mkts-ltd-share-price/INE420B01036/
ARIHANT SUPERSTRUCT LTD,https://www.upstox.com/stocks/arihant-superstruct-ltd-share-price/INE643K01018/
ARKADE DEVELOPERS LIMITED,https://www.upstox.com/stocks/arkade-developers-limited-share-price/INE0QRL01017/
ARMAN FIN SERV LTD,https://www.upstox.com/stocks/arman-fin-serv-ltd-share-price/INE109C01017/
ARO GRANITE IND. LTD.,https://www.upstox.com/stocks/aro-granite-ind-ltd-share-price/INE210C01013/
ARROW GREENTECH LIMITED,https://www.upstox.com/stocks/arrow-greentech-limited-share-price/INE570D01018/
ARTEMIS MED SERVICE LTD,https://www.upstox.com/stocks/artemis-med-service-ltd-share-price/INE025R01021/
ART NIRMAN LIMITED,https://www.upstox.com/stocks/art-nirman-limited-share-price/INE738V01013/
ARVEE LABORATORIES I LTD,https://www.upstox.com/stocks/arvee-laboratories-i-ltd-share-price/INE006Z01016/
ARVIND LIMITED,https://www.upstox.com/stocks/arvind-limited-share-price/INE034A01011/
ARVIND FASHIONS LIMITED,https://www.upstox.com/stocks/arvind-fashions-limited-share-price/INE955V01021/
ARVIND SMARTSPACES LTD,https://www.upstox.com/stocks/arvind-smartspaces-ltd-share-price/INE034S01021/
ASAHI INDIA GLASS LIMITED,https://www.upstox.com/stocks/asahi-india-glass-limited-share-price/INE439A01020/
ASAHI SONGWON COLOR LTD,https://www.upstox.com/stocks/asahi-songwon-color-ltd-share-price/INE228I01012/
AUTOMOTIVE STAMPINGS & AS,https://www.upstox.com/stocks/automotive-stampings-as-share-price/INE900C01027/
ASSO ALCOHOLS & BREW LTD,https://www.upstox.com/stocks/asso-alcohols-brew-ltd-share-price/INE073G01016/
ASHAPURA MINECHEM LTD,https://www.upstox.com/stocks/ashapura-minechem-ltd-share-price/INE348A01023/
ASHIANA HOUSING LTD,https://www.upstox.com/stocks/ashiana-housing-ltd-share-price/INE365D01021/
ASHIMA LTD,https://www.upstox.com/stocks/ashima-ltd-share-price/INE440A01010/
ASHOKA BUILDCON LTD,https://www.upstox.com/stocks/ashoka-buildcon-ltd-share-price/INE442H01029/
ASHOKA METCAST LIMITED,https://www.upstox.com/stocks/ashoka-metcast-limited-share-price/INE760Y01011/
ASHOK LEYLAND LTD,https://www.upstox.com/stocks/ashok-leyland-ltd-share-price/INE208A01029/
ASIAN ENERGY SERVICES LTD,https://www.upstox.com/stocks/asian-energy-services-ltd-share-price/INE276G01015/
ASIAN HOTELS (NORTH) LTD,https://www.upstox.com/stocks/asian-hotels-north-ltd-share-price/INE363A01022/
ASIAN PAINTS LIMITED,https://www.upstox.com/stocks/asian-paints-limited-share-price/INE021A01026/
ASIAN GRANITO IND. LTD.,https://www.upstox.com/stocks/asian-granito-ind-ltd-share-price/INE022I01019/
ASK AUTOMOTIVE LIMITED,https://www.upstox.com/stocks/ask-automotive-limited-share-price/INE491J01022/
ASL INDUSTRIES LIMITED,https://www.upstox.com/stocks/asl-industries-limited-share-price/INE617I01024/
BARTRONICS INDIA LIMITED,https://www.upstox.com/stocks/bartronics-india-limited-share-price/INE855F01042/
ASPINWALL & CO LTD,https://www.upstox.com/stocks/aspinwall-co-ltd-share-price/INE991I01015/
ASTEC LIFESCIENCES LTD,https://www.upstox.com/stocks/astec-lifesciences-ltd-share-price/INE563J01010/
ASTER DM HEALTHCARE LTD.,https://www.upstox.com/stocks/aster-dm-healthcare-ltd-share-price/INE914M01019/
ASTRAL LIMITED,https://www.upstox.com/stocks/astral-limited-share-price/INE006I01046/
ASTRA MICROWAVE LTD,https://www.upstox.com/stocks/astra-microwave-ltd-share-price/INE386C01029/
ASTRAZENECA PHARMA IND LT,https://www.upstox.com/stocks/astrazeneca-pharma-ind-lt-share-price/INE203A01020/
ASTRON PAPER BORD MIL LTD,https://www.upstox.com/stocks/astron-paper-bord-mil-ltd-share-price/INE646X01014/
ATAL REALTECH LIMITED,https://www.upstox.com/stocks/atal-realtech-limited-share-price/INE0ALR01029/
ATAM VALVES LIMITED,https://www.upstox.com/stocks/atam-valves-limited-share-price/INE09KD01013/
AGRO TECH FOODS LIMITED,https://www.upstox.com/stocks/agro-tech-foods-limited-share-price/INE209A01019/
ADANI TOTAL GAS LIMITED,https://www.upstox.com/stocks/adani-total-gas-limited-share-price/INE399L01023/
ALLCARGO TERMINALS LTD,https://www.upstox.com/stocks/allcargo-terminals-ltd-share-price/INE0NN701020/
ATLANTAA LIMITED,https://www.upstox.com/stocks/atlantaa-limited-share-price/INE285H01022/
ATLAS CYCLE (HARYANA) LTD,https://www.upstox.com/stocks/atlas-cycle-haryana-ltd-share-price/INE446A01025/
ATUL LTD,https://www.upstox.com/stocks/atul-ltd-share-price/INE100A01010/
ATUL AUTO LIMITED,https://www.upstox.com/stocks/atul-auto-limited-share-price/INE951D01028/
AU SMALL FINANCE BANK LTD,https://www.upstox.com/stocks/au-small-finance-bank-ltd-share-price/INE949L01017/
AURIONPRO SOLN LTD,https://www.upstox.com/stocks/aurionpro-soln-ltd-share-price/INE132H01018/
AURO IMPEX & CHEMICALS L,https://www.upstox.com/stocks/auro-impex-chemicals-l-share-price/INE0NUL01018/
AUROBINDO PHARMA LTD,https://www.upstox.com/stocks/aurobindo-pharma-ltd-share-price/INE406A01037/
AURUM PROPTECH LIMITED,https://www.upstox.com/stocks/aurum-proptech-limited-share-price/INE898S01029/
ADITYA ULTRA STEEL LTD,https://www.upstox.com/stocks/aditya-ultra-steel-ltd-share-price/INE01YQ01013/
AUSOM ENTERPRISE LIMITED,https://www.upstox.com/stocks/ausom-enterprise-limited-share-price/INE218C01016/
AUTOMOTIVE AXLES LIMITED,https://www.upstox.com/stocks/automotive-axles-limited-share-price/INE449A01011/
NIPPONAMC - NETFAUTO,https://www.upstox.com/stocks/nipponamc-netfauto-share-price/INF204KC1337/
ICICIPRAMC - ICICIAUTO,https://www.upstox.com/stocks/icicipramc-iciciauto-share-price/INF109KC10V2/
AUTOLINE INDUSTRIES LTD,https://www.upstox.com/stocks/autoline-industries-ltd-share-price/INE718H01014/
AVADH SUG & ENERGY LTD,https://www.upstox.com/stocks/avadh-sug-energy-ltd-share-price/INE349W01017/
AVALON TECHNOLOGIES LTD,https://www.upstox.com/stocks/avalon-technologies-ltd-share-price/INE0LCL01028/
AVANTEL LIMITED,https://www.upstox.com/stocks/avantel-limited-share-price/INE005B01027/
AVANTI FEEDS LIMITED,https://www.upstox.com/stocks/avanti-feeds-limited-share-price/INE871C01038/
AVG LOGISTICS LIMITED,https://www.upstox.com/stocks/avg-logistics-limited-share-price/INE680Z01018/
ADITYA VISION LIMITED,https://www.upstox.com/stocks/aditya-vision-limited-share-price/INE679V01027/
AVONMORE CAP&MGT SERV LTD,https://www.upstox.com/stocks/avonmore-cap-mgt-serv-ltd-share-price/INE323B01024/
AVRO INDIA LIMITED,https://www.upstox.com/stocks/avro-india-limited-share-price/INE652Z01017/
AVT NATURAL PRODUCTS LTD,https://www.upstox.com/stocks/avt-natural-products-ltd-share-price/INE488D01021/
AWFIS SPACE SOLUTIONS LTD,https://www.upstox.com/stocks/awfis-space-solutions-ltd-share-price/INE108V01019/
ANTONY WASTE HDG CELL LTD,https://www.upstox.com/stocks/antony-waste-hdg-cell-ltd-share-price/INE01BK01022/
ADANI WILMAR LIMITED,https://www.upstox.com/stocks/adani-wilmar-limited-share-price/INE699H01024/
AXIS BANK LIMITED,https://www.upstox.com/stocks/axis-bank-limited-share-price/INE238A01034/
AXISAMC - AXISBNKETF,https://www.upstox.com/stocks/axisamc-axisbnketf-share-price/INF846K01X63/
AXISAMC - AXISBPSETF,https://www.upstox.com/stocks/axisamc-axisbpsetf-share-price/INF846K01Z04/
AXISCADES TECH LTD,https://www.upstox.com/stocks/axiscades-tech-ltd-share-price/INE555B01013/
AXISAMC - AXISCETF,https://www.upstox.com/stocks/axisamc-axiscetf-share-price/INF846K016C7/
AXIS MF - AXIS GOLD ETF,https://www.upstox.com/stocks/axis-mf-axis-gold-etf-share-price/INF846K01W80/
AXISAMC - AXISHCETF,https://www.upstox.com/stocks/axisamc-axishcetf-share-price/INF846K01Z12/
AXISAMC - AXISILVER,https://www.upstox.com/stocks/axisamc-axisilver-share-price/INF846K011K1/
AXISAMC - AXISNIFTY,https://www.upstox.com/stocks/axisamc-axisnifty-share-price/INF846K01W98/
AXISAMC - AXISTECETF,https://www.upstox.com/stocks/axisamc-axistecetf-share-price/INF846K01Y96/
AXITA COTTON LIMITED,https://www.upstox.com/stocks/axita-cotton-limited-share-price/INE02EZ01022/
AXISAMC - AXSENSEX,https://www.upstox.com/stocks/axisamc-axsensex-share-price/INF846K010Q0/
AYM SYNTEX LIMITED,https://www.upstox.com/stocks/aym-syntex-limited-share-price/INE193B01039/
AZAD ENGINEERING LIMITED,https://www.upstox.com/stocks/azad-engineering-limited-share-price/INE02IJ01035/
BABA FOOD PROCESSING,https://www.upstox.com/stocks/baba-food-processing-share-price/INE0QW501012/
BAFNA PHARMACEUTICALS LTD,https://www.upstox.com/stocks/bafna-pharmaceuticals-ltd-share-price/INE878I01022/
B.A.G FILMS AND MEDIA LTD,https://www.upstox.com/stocks/b-a-g-films-and-media-ltd-share-price/INE116D01028/
BAID FINSERV LIMITED,https://www.upstox.com/stocks/baid-finserv-limited-share-price/INE020D01022/
BAJAJ AUTO LIMITED,https://www.upstox.com/stocks/bajaj-auto-limited-share-price/INE917I01010/
BAJAJ CONSUMER CARE LTD,https://www.upstox.com/stocks/bajaj-consumer-care-ltd-share-price/INE933K01021/
